📋 GASTOS PREVISTOS - MAIO 2026,,,,,,,,,💰 ORÇAMENTO MAIO,,,🔮 SIMULADOR,,,5
,,,,,,,,,💵 Receita prevista:,"R$ 0,00",,↓ Digite um valor para simular ↓,,,
Descrição,Categoria,Valor,DATA Vencimento,Encerra após,Urgência,PF ou Pj ,Status,,✅ Receita realizada:,"R$ 0,00",,💸 Valor extra:,"R$ 0,00",,
Financiamento carro,Transporte,"R$ 2.121,66",16/05/2026,Sempre,Alta,Pf,Pago,,📋 Total previsto ativo:,"R$ 6.876,19",,📊 Novo total:,"R$ 0,00",,
crfa PJ,Saúde,"R$ 48,57",31/05/2026,Sempre,Alta,PJ,Pago,,✅ Já pago:,"R$ 6.769,06",,💎 Saldo simulado:,"R$ 0,00",,
Contador,PJ,"R$ 350,00",20/05/2026,Sempre,Alta,PJ,Pago,,⏰ Falta pagar:,"R$ 107,13",,⚠️ ATENÇÃO! Margem apertada,,,
Claude ,Assinaturas,"R$ 110,00",11/04/2026,Sempre,Alta,PJ,Pago,,💎 SALDO PROJETADO:,"-R$ 6.876,19",,"✨ Sobrariam: R$ 0,00",,,
Gemini ,Assinaturas,"R$ 12,50",07/04/2026,Sempre,Média,PJ,Pago,,,,,,,,
Wix,Assinaturas,"R$ 19,00",16/05/2026,Sempre,Média,PJ,Pago,,,,,,,,
IPVA sefaz,Transporte,"R$ 173,62",27/04/2026,Sempre,Alta,PJ,Pago,,,,,,,,
IPVA 2026,Transporte,"R$ 241,21",15/05/2026,Sempre,Alta,PJ,Pago,,,,,,,,
Licença notas mensal,Impostos,"R$ 25,90",14/05/2026,Sempre,Alta,PJ,Pago,,,,,,,,
IPVA sefaz,Transporte,"R$ 162,36",25/04/2026,Sempre,Alta,PJ,Pago,,,,,,,,
Cartão sicob  ,Cartão,"R$ 746,48",11/05/2026,Sempre,Média,Pf,Pago,,,,,,,,
Cartão mercado pago,Cartão,"R$ 555,48",18/05/2026,Sempre,Média,Pf,Pago,,,,,,,,
Aluguel ,Moradia,"R$ 1.469,00",25/05/2026,Sempre,Alta,Pf,Pago,,,,,,,,
IPTU aluguel ,Moradia,"R$ 191,48",18/05/2026,Sempre,Alta,Pf,Pago,,,,,,,,
IPVA sefaz,Transporte,"R$ 162,60",25/05/2026,Sempre,Média,PJ,Pago,,,,,,,,
Internet,Internet,"R$ 107,13",25/05/2026,Sempre,Baixa,Pf,Pendente,,,,,,,,
crfa PF,Saúde,"R$ 79,20",31/05/2026,Sempre,Alta,PJ,Pago,,,,,,,,
Joyce psicologa,Saúde,"R$ 300,00",20/05/2026,Sempre,Média,Pf,Pago,,,,,,,,